code,name,name_eng,price,shares_common,mcap_common,mcap_total,corp_code,induty_code,fiscal_month,fs_div,currency,fin_rule,net_income_parent,equity_parent,net_income_parent_prior,equity_parent_prior,dps_common,eps_reported,payout_reported_pct,valueup_plan,valueup_first_plan_date,valueup_first_preview_date,valueup_filings,is_financial
005930,삼성전자,"SAMSUNG ELECTRONICS CO,.LTD",285500,5846278608,1669112542584000,1845634207244000,00126380,264,12,CFS,KRW,standard,44260956000000.0,424313255000000.0,33621363000000.0,391687603000000.0,1668.0,6605.0,25.1,True,20260319,,1,False
000660,SK하이닉스,SK hynix Inc.,1862000,730492365,1360176783630000,1360176783630000,00164779,2612,12,CFS,KRW,standard,42919287000000.0,120516178000000.0,19788681000000.0,73903394000000.0,3000.0,62044.0,4.9,True,20241127,,2,False
402340,SK스퀘어,"SK Square Co., Ltd.",1190000,131923998,156989557620000,156989557620000,01596425,64992,12,CFS,KRW,standard,8824131000000.0,27636531000000.0,3713971000000.0,19032533000000.0,0.0,66713.0,0.0,True,20241121,20241030,3,False
009150,삼성전기,"SAMSUNG ELECTRO-MECHANICS CO.,LTD",1507000,74693696,112563399872000,114066310600000,00126371,2622,12,CFS,KRW,standard,706113165450.0,9541761553956.0,679130069623.0,8789160638737.0,2350.0,9345.0,25.2,True,20260319,,1,False
373220,LG에너지솔루션,"LG ENERGY SOLUTION, LTD.",351500,234000000,82251000000000,82251000000000,01515323,28202,12,CFS,KRW,standard,-1072810000000.0,20215549000000.0,-1018741000000.0,21116237000000.0,0.0,-4585.0,0.0,True,20241122,,2,False
005380,현대차,HYUNDAI MOTOR CO,353500,203466492,71925404922000,82448684509600,00164742,30121,12,CFS,KRW,standard,9445987000000.0,115446507000000.0,12526691000000.0,109103398000000.0,10000.0,36088.0,27.7,True,20240828,,2,False
207940,삼성바이오로직스,"SAMSUNG BIOLOGICS CO.,LTD.",1366000,46290951,63233439066000,63233439066000,00877059,211,12,CFS,KRW,standard,1784352060593.0,7451110647985.0,1083315885986.0,10904676062018.0,0.0,26628.0,0.0,False,,,0,False
105560,KB금융,KB Financial Group Inc.,173200,354687734,61431915528800,61431915528800,00688996,64992,12,CFS,KRW,standard,5833162000000.0,59048211000000.0,5078221000000.0,57888952000000.0,4367.0,15410.0,27.0,True,20241024,20240527,4,True
028260,삼성물산,SAMSUNG C&T CORPORATION,367000,162167581,59515502227000,59869925212000,00149655,467,12,CFS,KRW,standard,2439114193252.0,49911892454122.0,2230258255124.0,31068664773795.0,2800.0,14906.0,18.8,False,,,0,False
032830,삼성생명,"Samsung Life Insurance co., Ltd",294500,200000000,58900000000000,58900000000000,00126256,65110,12,CFS,KRW,standard,2302837000000.0,62724296000000.0,2106839000000.0,36097438000000.0,5300.0,12824.0,41.3,True,20260319,,1,True
012450,한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",1021000,51563401,52646232421000,52646232421000,00126566,31321,12,CFS,KRW,standard,1404962303000.0,9684906768000.0,2298945271000.0,4995124600000.0,7000.0,28530.0,25.63,True,20250604,20250502,3,False
034020,두산에너빌리티,"DOOSAN ENERBILITY CO., LTD.",81700,640561146,52333845628200,52333845628200,00159616,29119,12,CFS,KRW,standard,84762000000.0,7785743000000.0,111365000000.0,7496562000000.0,0.0,132.0,0.0,False,,,0,False
055550,신한지주,"SHINHAN FINANCIAL GROUP CO.,LTD",109300,469450239,51310911122700,51310911122700,00382199,64992,12,CFS,KRW,standard,4971561000000.0,57959272000000.0,4450177000000.0,56053756000000.0,2590.0,9812.0,25.06,True,20240726,,4,False
